Wavelength (nm),Transmission (%)
2203,64.54716
2202,64.71681
2201,64.88957
2200,65.02763
2199,65.17156
2198,65.28324
2197,65.40133
2196,65.48149
2195,65.52052
2194,65.53780
2193,65.58420
2192,65.62059
2191,65.59518
2190,65.56430
2189,65.54460
2188,65.53011
2187,65.57391
2186,65.64697
2185,65.71285
2184,65.75763
2183,65.85136
2182,66.03599
2181,66.20171
2180,66.36370
2179,66.59007
2178,66.86507
2177,67.11003
2176,67.37924
2175,67.65316
2174,67.97450
2173,68.31678
2172,68.63205
2171,68.91297
2170,69.19852
2169,69.46844
2168,69.71784
2167,69.96721
2166,70.13584
2165,70.28453
2164,70.38481
2163,70.43207
2162,70.46787
2161,70.45267
2160,70.37314
2159,70.25250
2158,70.07662
2157,69.86362
2156,69.64467
2155,69.35702
2154,69.04948
2153,68.74160
2152,68.47675
2151,68.19236
2150,67.86928
2149,67.57990
2148,67.32570
2147,67.09088
2146,66.90748
2145,66.73976
2144,66.61085
2143,66.55954
2142,66.56124
2141,66.58599
2140,66.69110
2139,66.85662
2138,67.09617
2137,67.38196
2136,67.71500
2135,68.09898
2134,68.55347
2133,69.09034
2132,69.63667
2131,70.23005
2130,70.83975
2129,71.48576
2128,72.18494
2127,72.84083
2126,73.52329
2125,74.19570
2124,74.86009
2123,75.49070
2122,76.01676
2121,76.49095
2120,76.88882
2119,77.21974
2118,77.41883
2117,77.49742
2116,77.48453
2115,77.32770
2114,77.06220
2113,76.69204
2112,76.18074
2111,75.57981
2110,74.92113
2109,74.18869
2108,73.36317
2107,72.51856
2106,71.65577
2105,70.77324
2104,69.94781
2103,69.08701
2102,68.28367
2101,67.51263
2100,66.81486
2099,66.17851
2098,65.60653
2097,65.07677
2096,64.66090
2095,64.33010
2094,64.07569
2093,63.88367
2092,63.80340
2091,63.83072
2090,63.94039
2089,64.13818
2088,64.39554
2087,64.75102
2086,65.21258
2085,65.77308
2084,66.34794
2083,67.01523
2082,67.73692
2081,68.50391
2080,69.34878
2079,70.16903
2078,70.99444
2077,71.81518
2076,72.63660
2075,73.43213
2074,74.16962
2073,74.78912
2072,75.32793
2071,75.76615
2070,76.09001
2069,76.29736
2068,76.36882
2067,76.30536
2066,76.12176
2065,75.83555
2064,75.46753
2063,75.01705
2062,74.46245
2061,73.86500
2060,73.19954
2059,72.54947
2058,71.91729
2057,71.25809
2056,70.62679
2055,70.00245
2054,69.44110
2053,68.96697
2052,68.52401
2051,68.15140
2050,67.89181
2049,67.69865
2048,67.56811
2047,67.52379
2046,67.58490
2045,67.75601
2044,67.99796
2043,68.32231
2042,68.71210
2041,69.21005
2040,69.79352
2039,70.40045
2038,71.07267
2037,71.79231
2036,72.54338
2035,73.28589
2034,74.02559
2033,74.72129
2032,75.36626
2031,76.00101
2030,76.54659
2029,76.96989
2028,77.27666
2027,77.48477
2026,77.57734
2025,77.54311
2024,77.36992
2023,77.09927
2022,76.76282
2021,76.30116
2020,75.74174
2019,75.14961
2018,74.50008
2017,73.85210
2016,73.23349
2015,72.59736
2014,71.94576
2013,71.33198
2012,70.80662
2011,70.33727
2010,69.90065
2009,69.52324
2008,69.22771
2007,68.99348
2006,68.84335
2005,68.78082
2004,68.78781
2003,68.86057
2002,69.01737
2001,69.25920
2000,69.53124
1999,69.83254
1998,70.18172
1997,70.51992
1996,70.87517
1995,71.21263
1994,71.47660
1993,71.67787
1992,71.80819
1991,71.81675
1990,71.73009
1989,71.51040
1988,71.16417
1987,70.68323
1986,70.05535
1985,69.31412
1984,68.46271
1983,67.50722
1982,66.49061
1981,65.41566
1980,64.29656
1979,63.17711
1978,62.08138
1977,60.99482
1976,59.94884
1975,58.95801
1974,58.01569
1973,57.12157
1972,56.31637
1971,55.62152
1970,55.02343
1969,54.50280
1968,54.09790
1967,53.82324
1966,53.65740
1965,53.58786
1964,53.61587
1963,53.79515
1962,54.08831
1961,54.50808
1960,55.06666
1959,55.68272
1958,56.43886
1957,57.36291
1956,58.34799
1955,59.39452
1954,60.49092
1953,61.66849
1952,62.96259
1951,64.16481
1950,65.41020
1949,66.57961
1948,67.75646
1947,68.81013
1946,69.76248
1945,70.56416
1944,71.23794
1943,71.77550
1942,72.15201
1941,72.30066
1940,72.27176
1939,72.12218
1938,71.83514
1937,71.47338
1936,71.02517
1935,70.51030
1934,69.90239
1933,69.29612
1932,68.64596
1931,68.06218
1930,67.45026
1929,66.86031
1928,66.33450
1927,65.87682
1926,65.50861
1925,65.23488
1924,65.07714
1923,64.99531
1922,64.96862
1921,65.01828
1920,65.14014
1919,65.40401
1918,65.78238
1917,66.24063
1916,66.73920
1915,67.26823
1914,67.89940
1913,68.51391
1912,69.19921
1911,69.90562
1910,70.59002
1909,71.24225
1908,71.90389
1907,72.57534
1906,73.28645
1905,73.91455
1904,74.44877
1903,74.98642
1902,75.50855
1901,76.01096
1900,76.55790
1899,77.03947
1898,77.46546
1897,78.01929
1896,78.47643
1895,78.94059
