Wavelength (nm),Transmission (%),,,,,,
2288,73.07760811,,,,,,
2287,73.27174759,,,,,,
2286,72.70127678,,,,,,
2285,72.51776314,,,,,,
2284,72.41645813,,,,,,
2283,72.4850502,,,,,,
2282,72.68424416,,,,,,
2281,72.01063729,,,,,,
2280,71.62574196,,,,,,
2279,71.54172898,,,,,,
2278,71.41157151,,,,,,
2277,70.98093605,,,,,,
2276,71.13227081,,,,,,
2275,70.46699715,,,,,,
2274,70.48837281,,,,,,
2273,70.1388607,,,,,,
2272,70.09729767,,,,,,
2271,69.74458313,,,,,,
2270,69.60395432,,,,,,
2269,69.28510284,,,,,,
2268,69.06695366,,,,,,
2267,68.79862786,,,,,,
2266,68.77761459,,,,,,
2265,68.23708535,,,,,,
2264,68.60087395,,,,,,
2263,68.45874405,,,,,,
2262,68.00444603,,,,,,
2261,67.45067978,,,,,,
2260,67.3587246,,,,,,
2259,67.00788307,,,,,,
2258,67.36784172,,,,,,
2257,66.72597122,,,,,,
2256,67.18600464,,,,,,
2255,66.15929794,,,,,,
2254,66.49434281,,,,,,
2253,66.02007866,,,,,,
2252,65.93922043,,,,,,
2251,65.60577202,,,,,,
2250,65.76441765,,,,,,
2249,65.21865464,,,,,,
2248,65.10515595,,,,,,
2247,65.28232574,,,,,,
2246,65.13568116,,,,,,
2245,65.21180344,,,,,,
2244,65.25289726,,,,,,
2243,65.00153923,,,,,,
2242,64.84804345,,,,,,
2241,64.58203888,,,,,,
2240,64.84828949,,,,,,
2239,64.71967507,,,,,,
2238,64.72003365,,,,,,
2237,64.50547219,,,,,,
2236,64.70477486,,,,,,
2235,64.10580063,,,,,,
2234,64.23154831,,,,,,
2233,64.33626938,,,,,,
2232,64.20467568,,,,,,
2231,64.25131798,,,,,,
2230,63.65193367,,,,,,
2229,63.75377846,,,,,,
2228,63.29751206,,,,,,
2227,63.31304932,,,,,,
2226,63.04890633,,,,,,
2225,62.97521019,,,,,,
2224,62.39762116,,,,,,
2223,62.41855431,,,,,,
2222,61.82816696,,,,,,
2221,61.79223251,,,,,,
2220,61.62485695,,,,,,
2219,61.1403923,,,,,,
2218,60.38948822,,,,,,
2217,60.47023392,,,,,,
2216,60.11392975,,,,,,
2215,59.85549164,,,,,,
2214,59.85419655,,,,,,
2213,59.39718056,,,,,,
2212,59.59537125,,,,,,
2211,59.75368882,,,,,,
2210,59.63069344,,,,,,
2209,59.94553757,,,,,,
2208,59.9699688,,,,,,
2207,60.30851555,,,,,,
2206,60.89609909,,,,,,
2205,61.60926247,,,,,,
2204,62.17096329,,,,,,
2203,62.80610657,,,,,,
2202,63.74739647,,,,,,
2201,64.28663064,,,,,,
2200,65.23736191,,,,,,
2199,66.14044571,,,,,,
2198,67.25085068,,,,,,
2197,68.15748787,,,,,,
2196,69.1171093,,,,,,
2195,69.74635124,,,,,,
2194,70.69264984,,,,,,
2193,71.41392136,,,,,,
2192,72.25681114,,,,,,
2191,72.53885079,,,,,,
2190,73.4432869,,,,,,
2189,73.78788376,,,,,,
2188,74.39142227,,,,,,
2187,74.76247406,,,,,,
2186,75.21886063,,,,,,
2185,75.65390778,,,,,,
2184,75.91060638,,,,,,
2183,76.15402985,,,,,,
2182,76.61692047,,,,,,
2181,76.62221146,,,,,,
2180,76.85998917,,,,,,
2179,77.23096085,,,,,,
2178,77.33969498,,,,,,
2177,77.41476059,,,,,,
2176,77.45999909,,,,,,
2175,77.55357361,,,,,,
2174,77.84136582,,,,,,
2173,77.88970566,,,,,,
2172,77.99843216,,,,,,
2171,78.14591599,,,,,,
2170,78.36999894,,,,,,
2169,78.50911713,,,,,,
2168,78.59788514,,,,,,
2167,78.59836197,,,,,,
2166,78.71278,,,,,,
2165,78.80563736,,,,,,
2164,79.06491089,,,,,,
2163,79.08188629,,,,,,
2162,79.23575211,,,,,,
2161,79.13209152,,,,,,
2160,79.19662857,,,,,,
2159,79.14179993,,,,,,
2158,79.40465927,,,,,,
2157,79.52199554,,,,,,
2156,79.49283982,,,,,,
2155,79.42355729,,,,,,
2154,79.64254761,,,,,,
2153,79.54437638,,,,,,
2152,79.87263108,,,,,,
2151,79.79450607,,,,,,
2150,79.95897293,,,,,,
2149,79.91662598,,,,,,
2148,80.14640046,,,,,,
2147,80.42586517,,,,,,
2146,80.296978,,,,,,
2145,80.12960053,,,,,,
2144,80.2803154,,,,,,
2143,80.67662049,,,,,,
2142,80.335392,,,,,,
2141,80.53692246,,,,,,
2140,80.74808884,,,,,,
2139,80.6891861,,,,,,
2138,80.98066712,,,,,,
2137,80.73287583,,,,,,
2136,80.94945145,,,,,,
2135,80.9056015,,,,,,
2134,81.16537476,,,,,,
2133,81.06529618,,,,,,
2132,81.07391739,,,,,,
2131,80.93656159,,,,,,
2130,80.84974671,,,,,,
2129,81.19781494,,,,,,
2128,81.0607872,,,,,,
2127,81.17692947,,,,,,
2126,81.29436112,,,,,,
2125,81.15409851,,,,,,
2124,81.05430603,,,,,,
2123,81.30301667,,,,,,
2122,81.22024155,,,,,,
2121,81.41945267,,,,,,
2120,81.32071686,,,,,,
2119,81.33928299,,,,,,
2118,81.44715882,,,,,,
2117,81.417202,,,,,,
2116,81.30285263,,,,,,
2115,81.43229294,,,,,,
2114,81.38331986,,,,,,
2113,81.56201935,,,,,,
2112,81.41185379,,,,,,
2111,81.37179184,,,,,,
2110,81.40630722,,,,,,
2109,81.70402145,,,,,,
2108,81.61828995,,,,,,
2107,81.48220444,,,,,,
2106,81.64017487,,,,,,
2105,81.44382859,,,,,,
2104,81.52885056,,,,,,
2103,81.58965302,,,,,,
2102,81.51869965,,,,,,
2101,81.58999252,,,,,,
2100,81.66848374,,,,,,
2099,81.56531143,,,,,,
2098,81.65789414,,,,,,
2097,81.57476807,,,,,,
2096,81.72423172,,,,,,
2095,81.68717575,,,,,,
2094,81.72262192,,,,,,
2093,81.78333283,,,,,,
2092,81.54875184,,,,,,
2091,81.75180817,,,,,,
2090,81.81455612,,,,,,
2089,81.69188309,,,,,,
2088,81.74110794,,,,,,
2087,81.72868347,,,,,,
2086,81.8496399,,,,,,
2085,81.79179764,,,,,,
2084,81.69998932,,,,,,
2083,81.91561508,,,,,,
2082,81.72877121,,,,,,
2081,81.79935456,,,,,,
2080,81.81498719,,,,,,
2079,81.79185105,,,,,,
2078,81.70866776,,,,,,
2077,81.81809998,,,,,,
2076,81.71696472,,,,,,
2075,81.7190361,,,,,,
2074,81.71666336,,,,,,
2073,81.78470612,,,,,,
2072,81.69891358,,,,,,
2071,81.77733994,,,,,,
2070,81.77478409,,,,,,
2069,81.87278366,,,,,,
2068,81.64310456,,,,,,
2067,81.92228317,,,,,,
2066,81.69260788,,,,,,
2065,81.64294815,,,,,,
2064,81.77311325,,,,,,
2063,81.7025032,,,,,,
2062,81.65975571,,,,,,
2061,81.57335281,,,,,,
2060,81.95522308,,,,,,
2059,81.78403092,,,,,,
2058,81.77883911,,,,,,
2057,81.81499481,,,,,,
2056,81.85606003,,,,,,
2055,81.71668244,,,,,,
2054,82.00384522,,,,,,
2053,81.77393723,,,,,,
2052,81.88251877,,,,,,
2051,81.90459061,,,,,,
2050,81.79457092,,,,,,
2049,81.91297913,,,,,,
2048,82.0220604,,,,,,
2047,82.03634644,,,,,,
2046,81.89797592,,,,,,
2045,81.84429932,,,,,,
2044,82.07035065,,,,,,
2043,81.92676163,,,,,,
2042,81.91006089,,,,,,
2041,81.82759476,,,,,,
2040,81.91845703,,,,,,
2039,82.09708786,,,,,,
2038,82.02785874,,,,,,
2037,82.00518799,,,,,,
2036,81.91771698,,,,,,
2035,82.02266312,,,,,,
2034,81.94893647,,,,,,
2033,82.13248062,,,,,,
2032,82.21942139,,,,,,
2031,82.16492081,,,,,,
