Wavelength (nm),SLS201L Power (a.u.),
344.85,0.019413461,
345.06,0.022631804,
345.28,0.025788784,
345.49,0.029046115,
345.71,0.029189861,
345.92,0.029760775,
346.14,0.030039791,
346.35,0.030275412,
346.56,0.030165229,
346.78,0.030481538,
346.99,0.030778182,
347.21,0.031128732,
347.42,0.031923401,
347.64,0.041533341,
347.85,0.042319535,
348.07,0.042699579,
348.28,0.044017361,
348.49,0.044041431,
348.71,0.044897125,
348.92,0.045213433,
349.14,0.045758582,
349.35,0.046164392,
349.57,0.04667496,
349.78,0.047039749,
350,0.047598458,
350.21,0.047981893,
350.42,0.048313457,
350.64,0.048688756,
350.85,0.048923698,
351.07,0.049293911,
351.28,0.049610219,
351.5,0.050137061,
351.71,0.050322167,
351.93,0.050783916,
352.14,0.051189049,
352.35,0.051652493,
352.57,0.052232222,
352.78,0.052520052,
353,0.053129276,
353.21,0.053487962,
353.43,0.054111764,
353.64,0.054363997,
353.85,0.054658269,
354.07,0.055096964,
354.28,0.055346485,
354.5,0.055777383,
354.71,0.056109625,
354.93,0.056217095,
355.14,0.056388302,
355.35,0.05674631,
355.57,0.056963623,
355.78,0.056833439,
356,0.057240605,
356.21,0.057829488,
356.42,0.057875256,
356.64,0.057909836,
356.85,0.058441424,
357.07,0.058809941,
357.28,0.059183884,
357.5,0.059337461,
357.71,0.059961941,
357.92,0.060395212,
358.14,0.060475221,
358.35,0.061005792,
358.57,0.061488899,
358.78,0.06235951,
358.99,0.062770406,
359.21,0.063278601,
359.42,0.063511509,
359.64,0.064287532,
359.85,0.065230355,
360.06,0.065851444,
360.28,0.066591531,
360.49,0.066543729,
360.71,0.066901398,
360.92,0.06687292,
361.13,0.067694033,
361.35,0.0675947,
361.56,0.067493671,
361.78,0.068069331,
361.99,0.065210691,
362.2,0.065774147,
362.42,0.066288784,
362.63,0.066690187,
362.85,0.06716787,
363.06,0.067199738,
363.27,0.067983898,
363.49,0.068434459,
363.7,0.068989439,
363.92,0.069462376,
364.13,0.06966206,
364.34,0.070323494,
364.56,0.07091814,
364.77,0.071429725,
364.98,0.071946396,
